PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630163,2020-21,00,1610612766,CHA,19.0,51,31,1469.0,293,672,0.436,92,261,0.352,125,165,0.758,63,239,302,313,81,18,145,136,803,LaMelo Ball
1630163,2021-22,00,1610612766,CHA,20.0,75,75,2422.0,538,1254,0.429,220,565,0.389,212,243,0.872,108,393,501,571,119,30,245,237,1508,LaMelo Ball
1630163,2022-23,00,1610612766,CHA,21.0,36,36,1268.0,296,721,0.411,144,383,0.376,102,122,0.836,42,189,231,304,46,11,129,118,838,LaMelo Ball
1628366,2017-18,00,1610612747,LAL,20.0,52,50,1780.0,203,564,0.36,90,295,0.305,32,71,0.451,69,291,360,376,88,43,136,117,528,Lonzo Ball
1628366,2018-19,00,1610612747,LAL,21.0,47,45,1423.0,185,456,0.406,75,228,0.329,20,48,0.417,54,197,251,255,69,19,103,114,465,Lonzo Ball
1628366,2019-20,00,1610612740,NOP,22.0,63,54,2025.0,277,687,0.403,148,395,0.375,43,76,0.566,71,312,383,438,88,38,193,128,745,Lonzo Ball
1628366,2020-21,00,1610612740,NOP,23.0,55,55,1747.0,290,700,0.414,172,455,0.378,50,64,0.781,33,230,263,316,82,31,123,103,802,Lonzo Ball
1628366,2021-22,00,1610612741,CHI,24.0,35,35,1212.0,162,383,0.423,110,260,0.423,21,28,0.75,35,155,190,178,64,31,82,85,455,Lonzo Ball
1628964,2018-19,00,1610612753,ORL,21.0,47,1,766.0,117,243,0.481,21,70,0.3,37,63,0.587,64,169,233,39,13,64,43,102,292,Mo Bamba
1628964,2019-20,00,1610612753,ORL,22.0,62,0,878.0,132,286,0.462,37,107,0.346,31,46,0.674,100,202,302,42,23,86,42,116,332,Mo Bamba
1628964,2020-21,00,1610612753,ORL,23.0,46,5,725.0,142,301,0.472,38,118,0.322,45,66,0.682,76,189,265,35,14,58,36,87,367,Mo Bamba
1628964,2021-22,00,1610612753,ORL,24.0,71,69,1824.0,296,617,0.48,107,281,0.381,57,73,0.781,148,424,572,85,38,118,77,182,756,Mo Bamba
1628964,2022-23,00,1610612753,ORL,25.0,40,6,681.0,106,214,0.495,43,108,0.398,35,51,0.686,47,137,184,42,12,38,22,86,290,Mo Bamba
1628964,2022-23,00,1610612747,LAL,25.0,9,1,88.0,11,27,0.407,5,16,0.313,6,11,0.545,11,30,41,4,1,5,8,19,33,Mo Bamba
1628964,2022-23,00,0,TOT,25.0,49,7,768.0,117,241,0.485,48,124,0.387,41,62,0.661,58,167,225,46,13,43,30,105,323,Mo Bamba
1631094,2022-23,00,1610612753,ORL,20.0,72,72,2430.0,479,1122,0.427,85,285,0.298,394,534,0.738,84,413,497,269,60,39,200,160,1437,Paolo Banchero
1630217,2020-21,00,1610612763,MEM,23.0,68,17,1519.0,234,499,0.469,117,271,0.432,40,49,0.816,31,179,210,118,41,16,59,125,625,Desmond Bane
1630217,2021-22,00,1610612763,MEM,24.0,76,76,2266.0,508,1101,0.461,228,523,0.436,140,155,0.903,46,288,334,208,92,29,111,196,1384,Desmond Bane
1630217,2022-23,00,1610612763,MEM,25.0,58,58,1841.0,450,939,0.479,166,407,0.408,181,205,0.883,43,248,291,254,56,22,126,150,1247,Desmond Bane
1630625,2021-22,00,1610612761,TOR,22.0,64,1,696.0,83,202,0.411,13,51,0.255,26,44,0.591,38,86,124,99,28,10,53,68,205,Dalano Banton
1630625,2022-23,00,1610612761,TOR,23.0,31,2,279.0,55,130,0.423,15,51,0.294,17,24,0.708,11,34,45,36,13,13,18,34,142,Dalano Banton
1627760,2021-22,00,1610612737,ATL,27.0,3,0,13.0,0,4,0.0,0,0,0.0,0,4,0.0,1,2,3,3,0,0,1,1,0,Cat Barber
2571,2013-14,00,1610612756,PHX,31.0,20,0,368.0,56,131,0.427,7,25,0.28,31,39,0.795,5,32,37,32,7,4,19,30,150,Leandro Barbosa
2571,2014-15,00,1610612744,GSW,32.0,66,1,982.0,183,386,0.474,43,112,0.384,58,74,0.784,23,68,91,99,41,8,44,87,467,Leandro Barbosa
2571,2015-16,00,1610612744,GSW,33.0,68,0,1079.0,171,370,0.462,39,110,0.355,52,62,0.839,28,89,117,82,44,10,53,107,433,Leandro Barbosa
2571,2016-17,00,1610612756,PHX,34.0,67,0,963.0,172,392,0.439,35,98,0.357,40,45,0.889,15,89,104,81,31,8,48,82,419,Leandro Barbosa
200826,2013-14,00,1610612750,MIN,30.0,79,1,1471.0,254,656,0.387,73,231,0.316,79,100,0.79,16,138,154,303,26,0,125,129,660,J.J. Barea
200826,2014-15,00,1610612742,DAL,31.0,77,10,1362.0,225,536,0.42,54,167,0.323,76,94,0.809,23,111,134,263,33,1,70,104,580,J.J. Barea
200826,2015-16,00,1610612742,DAL,32.0,74,16,1667.0,317,711,0.446,100,260,0.385,74,96,0.771,26,126,152,302,26,2,113,110,808,J.J. Barea
200826,2016-17,00,1610612742,DAL,33.0,35,6,771.0,142,343,0.414,53,148,0.358,44,51,0.863,9,75,84,193,14,1,63,30,381,J.J. Barea
200826,2017-18,00,1610612742,DAL,34.0,69,11,1603.0,303,690,0.439,115,313,0.367,80,102,0.784,15,186,201,434,35,3,143,83,801,J.J. Barea
200826,2018-19,00,1610612742,DAL,35.0,38,0,752.0,161,385,0.418,38,128,0.297,55,78,0.705,13,82,95,211,22,1,72,50,415,J.J. Barea
200826,2019-20,00,1610612742,DAL,36.0,29,6,450.0,85,207,0.411,32,85,0.376,20,22,0.909,10,43,53,112,5,2,38,27,222,J.J. Barea
200745,2013-14,00,1610612752,NYK,28.0,42,39,1257.0,222,502,0.442,30,108,0.278,84,102,0.824,69,153,222,45,14,52,58,100,558,Andrea Bargnani
200745,2014-15,00,1610612752,NYK,29.0,29,22,785.0,164,361,0.454,15,41,0.366,87,107,0.813,32,95,127,46,2,27,42,53,430,Andrea Bargnani
200745,2015-16,00,1610612751,BKN,30.0,46,0,634.0,127,279,0.455,3,16,0.188,47,57,0.825,28,69,97,18,4,9,26,61,304,Andrea Bargnani
1631230,2022-23,00,1610612759,SAS,20.0,28,0,408.0,46,86,0.535,0,4,0.0,18,25,0.72,46,56,102,24,10,19,15,56,110,Dominick Barlow
203084,2013-14,00,1610612744,GSW,22.0,78,24,2204.0,271,679,0.399,66,190,0.347,130,181,0.718,66,245,311,116,65,20,84,158,738,Harrison Barnes
203084,2014-15,00,1610612744,GSW,23.0,82,82,2318.0,316,656,0.482,87,215,0.405,108,150,0.72,117,336,453,116,61,19,71,146,827,Harrison Barnes
203084,2015-16,00,1610612744,GSW,24.0,66,59,2042.0,295,633,0.466,82,214,0.383,102,134,0.761,77,248,325,117,41,10,57,136,774,Harrison Barnes
203084,2016-17,00,1610612742,DAL,25.0,79,79,2804.0,599,1280,0.468,78,222,0.351,242,281,0.861,93,301,394,116,65,15,102,128,1518,Harrison Barnes
203084,2017-18,00,1610612742,DAL,26.0,77,77,2634.0,537,1208,0.445,119,333,0.357,259,313,0.827,77,391,468,152,49,14,118,94,1452,Harrison Barnes
203084,2018-19,00,1610612742,DAL,27.0,49,49,1584.0,290,717,0.404,121,311,0.389,165,198,0.833,36,171,207,62,33,11,68,79,866,Harrison Barnes
203084,2018-19,00,1610612758,SAC,27.0,28,28,949.0,141,310,0.455,53,130,0.408,64,80,0.8,21,133,154,53,17,2,30,43,399,Harrison Barnes
203084,2018-19,00,0,TOT,27.0,77,77,2533.0,431,1027,0.42,174,441,0.395,229,278,0.824,57,304,361,115,50,13,98,122,1265,Harrison Barnes
203084,2019-20,00,1610612758,SAC,28.0,72,72,2482.0,365,793,0.46,102,268,0.381,214,267,0.801,77,278,355,159,43,12,88,93,1046,Harrison Barnes
